GEOID,all,count
17031282800,all,6
17031283100,all,1
17031283200,all,3
17031283800,all,11
17031290900,all,36
17031291200,all,24
17031291600,all,6
17031292200,all,21
17031292400,all,12
17031292500,all,32
17031300500,all,11
17031300600,all,5
17031300700,all,11
17031300800,all,12
17031300900,all,10
17031301100,all,8
17031301200,all,16
17031301600,all,12
17031301701,all,9
17031301702,all,11
17031301801,all,17
17031301802,all,17
17031301803,all,18
17031310200,all,4
17031310300,all,7
17031310400,all,3
17031310500,all,2
17031310600,all,16
17031310700,all,3
17031310800,all,11
17031310900,all,12
17031320100,all,1
17031320400,all,4
17031320600,all,0
17031330100,all,6
17031330200,all,3
17031340300,all,0
17031340400,all,1
17031340500,all,0
17031340600,all,7
17031350100,all,1
17031350400,all,6
17031351000,all,1
17031351100,all,10
17031351400,all,10
17031351500,all,2
17031360200,all,3
17031380100,all,7
17031380200,all,2
17031380500,all,5
17031380700,all,2
17031381200,all,9
17031381400,all,15
17031381500,all,0
17031381700,all,0
17031381800,all,11
17031381900,all,5
17031390100,all,5
17031390200,all,3
17031390300,all,8
17031390400,all,7
17031390500,all,4
17031390600,all,1
17031390700,all,2
17031400300,all,21
17031400400,all,17
17031400500,all,21
17031400800,all,23
17031410100,all,4
17031410200,all,1
17031410500,all,4
17031410600,all,1
17031410700,all,2
17031410800,all,3
17031410900,all,2
17031411000,all,3
17031411100,all,0
17031411200,all,0
17031420100,all,0
17031420200,all,2
17031420300,all,4
17031420400,all,5
17031420500,all,14
17031420600,all,16
17031420700,all,45
17031420800,all,19
17031421200,all,5
17031430101,all,28
17031430102,all,11
17031430200,all,28
17031430300,all,9
17031430400,all,21
17031430500,all,23
17031430600,all,11
17031430700,all,9
17031430800,all,8
17031430900,all,8
17031431200,all,11
17031431301,all,25
17031431302,all,27
17031431400,all,30
17031440101,all,38
17031440102,all,34
17031440201,all,22
17031440202,all,20
17031440300,all,8
17031440600,all,6
17031440700,all,10
17031440800,all,12
17031440900,all,16
17031450300,all,19
