GEOID,all,count
17031700502,all,116
17031710100,all,806
17031710200,all,1626
17031710300,all,727
17031710400,all,2316
17031710500,all,1541
17031710600,all,1305
17031710700,all,1207
17031710800,all,2014
17031710900,all,1514
17031711000,all,1256
17031711100,all,1086
17031711200,all,919
17031711300,all,285
17031711400,all,1870
17031711500,all,751
17031720100,all,38
17031720200,all,156
17031720300,all,88
17031720400,all,56
17031720500,all,62
17031720600,all,44
17031720700,all,142
17031730100,all,456
17031730201,all,1295
17031730202,all,507
17031730300,all,414
17031730400,all,1111
17031730500,all,1309
17031730600,all,1019
17031730700,all,1263
17031740100,all,112
17031740200,all,96
17031740300,all,163
17031740400,all,106
17031750100,all,1175
17031750200,all,239
17031750300,all,71
17031750400,all,66
17031750500,all,1126
17031750600,all,1529
17031760801,all,52
17031760802,all,23
17031760803,all,86
17031770500,all,1
17031770602,all,0
17031770700,all,2
17031770800,all,0
17031770901,all,3
17031770902,all,11
17031805402,all,0
17031805502,all,0
17031805600,all,0
17031805702,all,0
17031807600,all,0
17031807800,all,0
17031807900,all,0
17031808001,all,0
17031808002,all,6
17031808100,all,0
17031810000,all,0
17031810200,all,50
17031810301,all,3
17031810400,all,3
17031810501,all,0
17031810502,all,3
17031810600,all,4
17031810701,all,0
17031810702,all,0
17031810800,all,0
17031810900,all,5
17031811100,all,0
17031811500,all,0
17031811600,all,1
17031811701,all,0
17031811900,all,0
17031812100,all,30
17031812200,all,6
17031812500,all,1
17031812600,all,19
17031813000,all,1
17031813100,all,4
17031813301,all,0
17031813302,all,1
17031813400,all,0
17031813500,all,3
17031813801,all,0
17031814200,all,0
17031820300,all,2
17031820400,all,0
17031820502,all,0
17031820700,all,0
17031820800,all,0
17031820901,all,0
17031820902,all,1
17031821102,all,1
17031821200,all,0
17031821401,all,0
17031821402,all,2
17031821500,all,0
17031821600,all,4
17031821700,all,0
17031821900,all,1
17031822000,all,3
17031822101,all,0
17031822701,all,0
17031822702,all,2
17031822802,all,0
17031823200,all,0
17031823303,all,0
17031823304,all,5
17031823400,all,0
17031823500,all,0
17031825700,all,0
17031825801,all,0
17031826401,all,0
17031826500,all,0
17031830500,all,381
17031830600,all,890
17031830700,all,3348
17031830800,all,66
17031830900,all,191
17031831000,all,36
17031831100,all,658
17031831200,all,753
17031831300,all,688
17031831400,all,2666
17031831500,all,181
17031831600,all,267
17031831700,all,409
17031831800,all,411
17031831900,all,32
17031832000,all,217
17031832100,all,289
17031832200,all,35
17031832300,all,61
17031832400,all,284
17031832500,all,108
17031832600,all,140
17031832900,all,46
17031833000,all,150
17031833100,all,212
17031833300,all,80
17031833900,all,1144
17031834000,all,1422
17031834200,all,2241
17031834300,all,891
17031834400,all,487
17031834500,all,988
17031834600,all,2669
17031834700,all,2280
17031834800,all,1308
17031834900,all,1529
17031835000,all,3677
17031835100,all,1536
17031835200,all,154
17031835500,all,1884
17031835600,all,1553
17031835700,all,1817
17031835800,all,660
17031835900,all,1384
17031836000,all,771
17031836100,all,1091
17031836200,all,71
17031836300,all,123
17031836400,all,431
17031836500,all,323
17031836600,all,3028
17031836700,all,2824
17031836800,all,3306
17031836900,all,1434
17031837000,all,4509
17031837100,all,1296
17031837300,all,1587
17031837400,all,2921
17031837800,all,1661
17031838000,all,769
17031838100,all,412
17031838200,all,209
17031838300,all,1463
17031838600,all,2769
17031838700,all,7421
17031838800,all,910
17031839000,all,514
17031839100,all,1129
17031839200,all,1330
17031839500,all,435
17031839600,all,1120
17031839700,all,328
17031839800,all,111
17031839900,all,256
17031840000,all,123
17031840100,all,74
17031840200,all,177
17031840300,all,508
17031840400,all,315
17031840700,all,578
17031840800,all,519
17031841000,all,2758
17031841100,all,458
17031841200,all,752
17031841300,all,434
17031841400,all,1008
17031841500,all,3551
17031841600,all,702
17031841700,all,532
17031841800,all,1526
17031841900,all,635
17031842000,all,555
17031842100,all,3473
17031842200,all,3441
17031842300,all,182
17031842400,all,1504
17031842500,all,688
17031842600,all,732
17031842800,all,883
17031842900,all,3773
17031843000,all,6872
17031843100,all,2009
17031843200,all,352
17031843300,all,1711
17031843400,all,1257
17031843500,all,314
17031843600,all,793
17031843700,all,430
17031843800,all,1181
17031843900,all,913
17031980000,all,1068
17031980100,all,244
17031990000,all,0
