id,GEOID
442,17031230200
476,17031230300
447,17031230400
141,17031230500
275,17031230600
519,17031230700
514,17031230800
278,17031230900
279,17031231100
280,17031231200
281,17031231500
252,17031240200
141,17031240300
534,17031240500
638,17031240600
435,17031240700
258,17031240800
460,17031240900
460,17031241000
290,17031241100
143,17031241200
480,17031241300
655,17031241400
802,17031241500
295,17031241600
480,17031242000
534,17031242100
534,17031242200
486,17031242300
821,17031242400
492,17031242500
339,17031242600
303,17031242700
303,17031242800
303,17031242900
303,17031243000
303,17031243100
421,17031243200
421,17031243300
421,17031243400
130,17031243500
465,17031250200
313,17031250300
839,17031250400
295,17031250500
313,17031250600
317,17031250700
128,17031250800
574,17031251000
320,17031251100
321,17031251200
322,17031251300
456,17031251400
324,17031251500
325,17031251600
326,17031251700
327,17031251800
328,17031251900
329,17031252000
330,17031252101
331,17031252102
332,17031252201
333,17031252202
809,17031260100
335,17031260200
809,17031260300
574,17031260400
338,17031260500
339,17031260600
340,17031260700
341,17031260800
342,17031260900
343,17031261000
343,17031270500
346,17031271200
346,17031271300
346,17031271400
556,17031271500
557,17031271800
375,17031280100
619,17031280400
619,17031280800
223,17031280900
335,17031281900
399,17031282700
335,17031282800
617,17031283100
617,17031283200
143,17031283800
360,17031290900
361,17031291200
557,17031291600
555,17031292200
557,17031292400
365,17031292500
557,17031300500
262,17031300600
262,17031300700
458,17031300800
372,17031300900
372,17031301100
372,17031301200
373,17031301600
177,17031301701
375,17031301702
473,17031301801
651,17031301802
378,17031301803
514,17031310200
519,17031310300
519,17031310400
519,17031310500
383,17031310600
445,17031310700
385,17031310800
385,17031310900
458,17031320100
458,17031320400
473,17031320600
473,17031330100
473,17031330200
473,17031340300
557,17031340400
257,17031340500
141,17031340600
407,17031350100
329,17031350400
407,17031351000
399,17031351100
399,17031351400
335,17031351500
514,17031360200
378,17031380100
252,17031380200
651,17031380500
252,17031380700
407,17031381200
408,17031381400
329,17031381500
582,17031381700
227,17031381800
262,17031381900
582,17031390100
473,17031390200
465,17031390300
375,17031390400
295,17031390500
303,17031390600
303,17031390700
420,17031400300
421,17031400400
787,17031400500
423,17031400800
130,17031410100
303,17031410200
556,17031410500
303,17031410600
492,17031410700
447,17031410800
116,17031410900
441,17031411000
473,17031411100
465,17031411200
434,17031420100
435,17031420200
435,17031420300
435,17031420400
438,17031420500
438,17031420600
440,17031420700
441,17031420800
442,17031421200
235,17031430101
445,17031430102
445,17031430200
472,17031430300
447,17031430400
56,17031430500
1,17031430600
450,17031430700
450,17031430800
450,17031430900
509,17031431200
455,17031431301
455,17031431302
456,17031431400
457,17031440101
458,17031440102
605,17031440201
460,17031440202
245,17031440300
465,17031440600
257,17031440700
784,17031440800
465,17031440900
466,17031450300
467,17031460100
468,17031460200
471,17031460301
470,17031460302
471,17031460400
472,17031460500
473,17031460600
1,17031460700
1,17031461000
476,17031470100
476,17031480100
476,17031480200
476,17031480300
480,17031480400
421,17031480500
862,17031490300
116,17031490400
335,17031490500
485,17031490600
486,17031490700
487,17031490800
489,17031490901
489,17031490902
490,17031491000
491,17031491100
492,17031491200
493,17031491300
494,17031491400
365,17031500100
496,17031500200
476,17031500300
572,17031510100
572,17031510200
500,17031510300
295,17031520100
859,17031520200
503,17031520300
223,17031520400
841,17031520500
514,17031520600
624,17031530100
508,17031530200
509,17031530300
539,17031530400
511,17031530501
407,17031530502
513,17031530503
514,17031530600
515,17031540101
516,17031540102
257,17031550100
496,17031550200
519,17031560100
520,17031560200
473,17031560300
130,17031560400
626,17031560700
141,17031560800
434,17031560900
434,17031561000
257,17031561100
257,17031570100
257,17031570200
838,17031570300
838,17031570400
465,17031570500
509,17031580100
534,17031580200
862,17031580300
496,17031580400
365,17031580501
491,17031580502
539,17031580600
540,17031580700
441,17031580800
434,17031590500
434,17031590600
434,17031590700
257,17031600400
257,17031600600
441,17031600700
257,17031600900
549,17031610300
330,17031610400
130,17031610800
552,17031611000
552,17031611100
554,17031611200
555,17031611300
556,17031611400
557,17031611500
460,17031611600
330,17031611700
560,17031611800
258,17031611900
562,17031612000
562,17031612100
56,17031620100
130,17031620200
279,17031620300
279,17031620400
130,17031630100
130,17031630200
346,17031630300
856,17031630400
572,17031630500
290,17031630800
574,17031630900
574,17031640100
130,17031640300
130,17031640400
130,17031640500
509,17031640600
560,17031640700
560,17031640800
582,17031650100
582,17031650200
279,17031650301
473,17031650302
56,17031650400
496,17031650500
447,17031660301
589,17031660302
408,17031660400
408,17031660500
592,17031660600
589,17031660700
468,17031660800
595,17031660900
596,17031661000
869,17031661100
599,17031670100
599,17031670200
230,17031670300
599,17031670400
602,17031670500
602,17031670600
604,17031670700
605,17031670800
303,17031670900
420,17031671100
608,17031671200
609,17031671300
610,17031671400
611,17031671500
866,17031671600
613,17031671800
626,17031671900
615,17031672000
616,17031680500
617,17031680600
618,17031680900
619,17031681000
620,17031681100
621,17031681200
608,17031681300
623,17031681400
624,17031690300
625,17031690400
626,17031690500
627,17031690900
613,17031691000
630,17031691100
630,17031691200
177,17031691300
632,17031691400
633,17031691500
617,17031700100
617,17031700200
252,17031700301
252,17031700302
638,17031700401
641,17031700402
638,17031700501
641,17031700502
638,17031710100
643,17031710200
641,17031710300
645,17031710400
650,17031710500
641,17031710600
648,17031710700
649,17031710800
650,17031710900
651,17031711000
652,17031711100
652,17031711200
486,17031711300
655,17031711400
602,17031711500
859,17031720100
252,17031720200
252,17031720300
335,17031720400
303,17031720500
408,17031720600
408,17031720700
435,17031730100
435,17031730201
582,17031730202
667,17031730300
668,17031730400
