GEOID,owner
17031620400,peaceful
17031630100,peaceful
17031630200,gangster disciples
17031630300,gangster disciples
17031630400,gangster disciples
17031630500,gangster disciples
17031630800,gangster disciples
17031630900,black p stones
17031640100,peaceful
17031640300,peaceful
17031640400,peaceful
17031640500,peaceful
17031640600,peaceful
17031640700,peaceful
17031640800,peaceful
17031650100,peaceful
17031650200,peaceful
17031650301,peaceful
17031650302,peaceful
17031650400,black p stones
17031650500,peaceful
17031660301,black p stones
17031660302,gangster disciples
17031660400,black p stones
17031660500,peaceful
17031660600,gangster disciples
17031660700,gangster disciples
17031660800,gangster disciples
17031660900,black p stones
17031661000,gangster disciples
17031661100,gangster disciples
17031670100,vice lords
17031670200,gangster disciples
17031670300,gangster disciples
17031670400,black p stones
17031670500,gangster disciples
17031670600,gangster disciples
17031670700,gangster disciples
17031670800,gangster disciples
17031670900,gangster disciples
17031671100,gangster disciples
17031671200,gangster disciples
17031671300,black p stones
17031671400,gangster disciples
17031671500,gangster disciples
17031671600,vice lords
17031671800,gangster disciples
17031671900,gangster disciples
17031672000,gangster disciples
17031680500,vice lords
17031680600,gangster disciples
17031680900,gangster disciples
17031681000,gangster disciples
17031681100,gangster disciples
17031681200,gangster disciples
17031681300,gangster disciples
17031681400,vice lords
17031690300,gangster disciples
17031690400,vice lords
17031690500,gangster disciples
17031690900,gangster disciples
17031691000,black p stones
17031691100,gangster disciples
17031691200,vice lords
17031691300,vice lords
17031691400,gangster disciples
17031691500,gangster disciples
17031700100,gangster disciples
17031700200,gangster disciples
17031700301,peaceful
17031700302,peaceful
17031700401,gangster disciples
17031700402,peaceful
17031700501,gangster disciples
17031700502,peaceful
17031710100,gangster disciples
17031710200,gangster disciples
17031710300,gangster disciples
17031710400,gangster disciples
17031710500,gangster disciples
17031710600,black p stones
17031710700,gangster disciples
17031710800,gangster disciples
17031710900,black p stones
17031711000,black p stones
17031711100,black p stones
17031711200,gangster disciples
17031711300,vice lords
17031711400,vice lords
17031711500,vice lords
17031720100,peaceful
17031720200,peaceful
17031720300,peaceful
17031720400,peaceful
17031720500,peaceful
17031720600,peaceful
17031720700,peaceful
17031730100,peaceful
17031730201,black p stones
17031730202,gangster disciples
17031730300,gangster disciples
17031730400,black p stones
17031730500,black p stones
17031730600,vice lords
17031730700,vice lords
17031740100,peaceful
17031740200,peaceful
17031740300,peaceful
17031740400,peaceful
17031750100,gangster disciples
17031750200,peaceful
17031750300,peaceful
17031750400,peaceful
17031750500,gangster disciples
17031750600,gangster disciples
17031760801,peaceful
17031760802,peaceful
17031760803,peaceful
17031770901,peaceful
17031770902,peaceful
17031805402,peaceful
17031805502,peaceful
17031805600,peaceful
17031805702,peaceful
17031807600,peaceful
17031807800,peaceful
17031807900,peaceful
17031808001,peaceful
17031808002,peaceful
17031808100,peaceful
17031810000,peaceful
17031810200,peaceful
17031810301,peaceful
17031810400,peaceful
17031810501,peaceful
17031810502,peaceful
17031810600,peaceful
