GEOID,gangster disciples,black p stones,peaceful,latin kings,vice lords,black disciples,two-six
17031282700,0.12,0.04,0.78,0,0.06,0,0
17031282800,0.01,0,0.97,0,0.02,0,0
17031283100,0,0,1,0,0,0,0
17031283200,0.04,0.01,0.94,0,0.01,0,0
17031283800,0.12,0.04,0.77,0,0.07,0,0
17031290900,0.22,0.21,0.03,0.02,0.5,0.01,0.01
17031291200,0.24,0.24,0.1,0.02,0.38,0.02,0
17031291600,0.02,0,0.98,0,0,0,0
17031292200,0.17,0.19,0.37,0.01,0.22,0.02,0.02
17031292400,0.14,0.11,0.25,0.02,0.48,0,0
17031292500,0.19,0.15,0.1,0.02,0.5,0.01,0.03
17031300500,0.12,0.19,0.66,0,0.03,0,0
17031300600,0,0.02,0.93,0.01,0.03,0.01,0
17031300700,0.08,0,0.85,0.01,0.06,0,0
17031300800,0.1,0.1,0.62,0.04,0.14,0,0
17031300900,0.04,0.04,0.73,0.01,0.15,0.02,0.01
17031301100,0.16,0.17,0.26,0.02,0.38,0.01,0
17031301200,0.27,0.17,0.39,0.02,0.14,0.01,0
17031301600,0.05,0.03,0.89,0.01,0.01,0,0.01
17031301701,0.04,0.03,0.85,0.01,0.07,0,0
17031301702,0.2,0.26,0.44,0,0.09,0,0.01
17031301801,0.16,0.01,0.83,0,0,0,0
17031301802,0.2,0.07,0.7,0,0.03,0,0
17031301803,0.08,0.05,0.59,0.01,0.26,0,0.01
17031310200,0.01,0,0.99,0,0,0,0
17031310300,0.09,0.02,0.81,0.01,0.07,0,0
17031310400,0.03,0.01,0.95,0.01,0,0,0
17031310500,0.07,0.03,0.89,0.01,0,0,0
17031310600,0.26,0.23,0.38,0.01,0.08,0.03,0.01
17031310700,0,0.01,0.93,0,0.06,0,0
17031310800,0.04,0.07,0.8,0,0.09,0,0
17031310900,0.2,0.2,0.49,0,0.08,0.02,0.01
17031320100,0,0,1,0,0,0,0
17031320400,0.04,0,0.94,0,0.02,0,0
17031320600,0,0,1,0,0,0,0
17031330100,0,0.01,0.98,0,0.01,0,0
17031330200,0,0,1,0,0,0,0
17031340300,0,0,1,0,0,0,0
17031340400,0,0,1,0,0,0,0
17031340500,0,0,1,0,0,0,0
17031340600,0.04,0.02,0.92,0,0.01,0.01,0
17031350100,0,0,1,0,0,0,0
17031350400,0.08,0.04,0.87,0,0.01,0,0
17031351000,0,0,1,0,0,0,0
17031351100,0.23,0.22,0.48,0.01,0.06,0,0
17031351400,0.06,0.04,0.88,0,0.02,0,0
17031351500,0,0,0.98,0,0.02,0,0
17031360200,0.17,0.1,0.6,0.02,0.09,0.02,0
17031380100,0.17,0.13,0.65,0,0.05,0,0
17031380200,0,0,1,0,0,0,0
17031380500,0.02,0.01,0.94,0,0.03,0,0
17031380700,0,0.01,0.99,0,0,0,0
17031381200,0.1,0.05,0.85,0,0,0,0
17031381400,0.26,0.27,0.19,0.03,0.24,0,0.01
17031381500,0,0,1,0,0,0,0
17031381700,0,0,1,0,0,0,0
17031381800,0.02,0.02,0.94,0.01,0,0.01,0
17031381900,0.02,0,0.98,0,0,0,0
17031390100,0,0.01,0.99,0,0,0,0
17031390200,0.03,0,0.95,0,0.02,0,0
17031390300,0.05,0.06,0.76,0,0.13,0,0
17031390400,0.03,0.04,0.92,0,0,0.01,0
17031390500,0.04,0,0.93,0,0.03,0,0
17031390600,0,0,1,0,0,0,0
17031390700,0.01,0,0.99,0,0,0,0
17031400300,0.18,0.15,0.6,0,0.05,0.01,0.01
17031400400,0.22,0.11,0.57,0.01,0.08,0.01,0
17031400500,0.24,0.3,0.04,0.05,0.34,0.02,0.01
17031400800,0.33,0.21,0.25,0.03,0.12,0.06,0
17031410100,0,0,1,0,0,0,0
17031410200,0,0,1,0,0,0,0
17031410500,0.01,0,0.99,0,0,0,0
17031410600,0,0,1,0,0,0,0
17031410700,0,0,1,0,0,0,0
17031410800,0,0.01,0.99,0,0,0,0
17031410900,0,0,1,0,0,0,0
17031411000,0,0,1,0,0,0,0
17031411100,0,0,1,0,0,0,0
17031411200,0,0,1,0,0,0,0
17031420100,0,0,1,0,0,0,0
17031420200,0.06,0.05,0.88,0,0.01,0,0
17031420300,0,0,1,0,0,0,0
17031420400,0.03,0.06,0.88,0,0.03,0,0
17031420500,0.34,0.39,0.16,0.03,0.06,0.02,0
17031420600,0.48,0.33,0,0.03,0.13,0.03,0
17031420700,0.53,0.21,0,0.07,0.14,0.04,0.01
17031420800,0.44,0.29,0.09,0.06,0.12,0,0
17031421200,0.09,0.1,0.81,0,0,0,0
17031430101,0.29,0.2,0.08,0.05,0.36,0.02,0
17031430102,0.03,0,0.97,0,0,0,0
17031430200,0.27,0.23,0.03,0.03,0.42,0.02,0
17031430300,0.37,0.4,0.07,0.02,0.12,0.01,0.01
17031430400,0.23,0.18,0.17,0.04,0.34,0.03,0.01
17031430500,0.16,0.09,0.71,0.01,0.02,0.01,0
17031430600,0.03,0.01,0.94,0.01,0,0.01,0
17031430700,0.21,0.3,0.46,0,0.01,0.02,0
17031430800,0.06,0.04,0.89,0.01,0,0,0
17031430900,0.06,0.06,0.87,0.01,0,0,0
17031431200,0.13,0.15,0.72,0,0,0,0
17031431301,0.37,0.52,0.03,0.01,0.06,0.01,0
17031431302,0.38,0.49,0.01,0.01,0.08,0.02,0.01
17031431400,0.37,0.19,0.27,0.03,0.11,0.03,0
17031440101,0.33,0.22,0.24,0.02,0.14,0.03,0.02
17031440102,0.31,0.14,0.26,0.02,0.26,0.01,0
17031440201,0.25,0.12,0.46,0.04,0.13,0,0
17031440202,0.01,0,0.97,0,0.01,0.01,0
17031440300,0.04,0.05,0.81,0.01,0.09,0,0
17031440600,0.12,0.04,0.81,0,0.03,0,0
17031440700,0.14,0.13,0.67,0.02,0.02,0.01,0.01
17031440800,0.13,0.12,0.72,0.01,0.02,0,0
17031440900,0.28,0.25,0.39,0.02,0.06,0,0
17031450300,0.31,0.22,0.41,0.03,0.02,0.01,0
17031460100,0.46,0.38,0,0.01,0.12,0.02,0.01
17031460200,0.25,0.1,0.56,0.04,0.04,0,0.01
17031460301,0.39,0.46,0.09,0.03,0.01,0.01,0.01
17031460302,0.41,0.42,0.04,0.03,0.08,0.01,0.01
17031460400,0.29,0.31,0.08,0.06,0.24,0.02,0
17031460500,0.33,0.27,0.15,0,0.21,0.03,0.01
17031460600,0.1,0.01,0.84,0.01,0.03,0.01,0
17031460700,0.19,0.49,0.17,0.02,0.1,0.01,0.02
17031461000,0,0,1,0,0,0,0
17031470100,0.18,0.16,0.62,0,0.03,0.01,0
17031480100,0.03,0.01,0.95,0,0,0.01,0
17031480200,0,0.01,0.99,0,0,0,0
17031480300,0.05,0.04,0.91,0,0,0,0
17031480400,0.25,0.36,0.3,0.02,0.04,0.01,0.02
17031480500,0.11,0.08,0.79,0,0,0.01,0.01
17031490300,0.11,0.1,0.75,0,0.03,0.01,0
17031490400,0.01,0.03,0.94,0,0.02,0,0
17031490500,0.06,0.04,0.87,0,0.03,0,0
17031490600,0.1,0.11,0.33,0.02,0.42,0.01,0.01
17031490700,0.26,0.26,0.09,0.02,0.35,0.01,0.01
17031490800,0.31,0.21,0.04,0.02,0.39,0.03,0
17031490901,0.52,0.31,0.07,0.01,0.06,0.02,0.01
17031490902,0.5,0.26,0.11,0.01,0.11,0,0.01
17031491000,0.45,0.32,0,0.03,0.14,0.03,0.03
17031491100,0.35,0.39,0.11,0,0.1,0.03,0.02
17031491200,0.15,0.1,0.66,0.01,0.08,0,0
17031491300,0.18,0.17,0.07,0.03,0.55,0,0
17031491400,0.48,0.33,0.03,0.02,0.08,0.03,0.03
17031500100,0.08,0.04,0.85,0.01,0.02,0,0
17031500200,0.24,0.25,0.41,0.03,0.05,0.02,0
17031500300,0.02,0.02,0.96,0,0,0,0
17031510100,0,0,1,0,0,0,0
17031510200,0.03,0.03,0.94,0,0,0,0
17031510300,0.37,0.24,0.09,0.04,0.24,0.02,0
17031520100,0.03,0.01,0.96,0,0,0,0
17031520200,0.15,0.11,0.49,0.03,0.22,0,0
17031520300,0.18,0.12,0.69,0,0,0,0.01
17031520400,0,0,1,0,0,0,0
17031520500,0,0,1,0,0,0,0
17031520600,0,0,1,0,0,0,0
17031530100,0.36,0.32,0.27,0.02,0.03,0,0
17031530200,0.36,0.56,0,0.01,0.03,0.03,0.01
17031530300,0.46,0.29,0.11,0.01,0.1,0.03,0
17031530400,0.04,0.02,0.91,0,0.02,0.01,0
17031530501,0.32,0.41,0.01,0.03,0.21,0.02,0
17031530502,0.18,0.08,0.62,0.01,0.1,0.01,0
17031530503,0.2,0.18,0.09,0.03,0.47,0.02,0.01
17031530600,0.21,0.17,0.34,0.01,0.26,0,0.01
17031540101,0.17,0.26,0.33,0.01,0.22,0.01,0
17031540102,0.34,0.33,0.09,0.01,0.2,0.02,0.01
17031550100,0,0,1,0,0,0,0
17031550200,0.01,0,0.98,0,0.01,0,0
17031560100,0.02,0.01,0.95,0,0.02,0,0
17031560200,0.3,0.36,0.25,0.02,0.06,0,0.01
17031560300,0,0.01,0.99,0,0,0,0
17031560400,0,0,1,0,0,0,0
17031560700,0,0,1,0,0,0,0
17031560800,0,0,1,0,0,0,0
17031560900,0,0,1,0,0,0,0
17031561000,0,0,1,0,0,0,0
17031561100,0,0,1,0,0,0,0
17031570100,0.01,0,0.99,0,0,0,0
17031570200,0.01,0.02,0.94,0,0.03,0,0
17031570300,0.05,0,0.95,0,0,0,0
17031570400,0,0,1,0,0,0,0
