GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita
170310511001,631,13,20,32,9,13,36,8,17,6,37,58,53,43,56,68,162,60205,11.00551068432632
170310512001,304,5,3,0,10,0,0,29,12,0,10,20,53,32,29,35,66,70650,11.165493388112674
170310512002,320,5,0,4,0,23,0,3,6,0,22,5,69,35,10,48,90,76400,11.243737975154612
170310513001,448,0,0,12,14,0,6,0,0,0,0,27,54,70,29,52,184,99153,11.504419390676285
170310513002,669,0,0,9,12,0,23,0,10,0,27,32,80,99,45,158,174,80286,11.293350538533044
170310514001,455,6,48,21,4,12,0,7,25,14,11,35,53,47,26,33,113,64267,11.070801559199014
170310514002,318,10,4,23,9,0,15,6,5,26,39,6,39,40,29,32,35,57538,10.960200878072532
170310601001,345,0,9,8,0,0,0,30,0,35,47,15,29,18,10,20,124,83618,11.33401408690149
170310601002,519,0,0,0,6,9,10,8,8,8,24,85,88,45,39,39,150,66819,11.109742750219594
170310601003,321,27,0,0,0,0,15,16,9,8,10,43,32,34,7,38,82,65953,11.09669764611769
170310602001,681,14,36,31,25,28,13,36,10,10,46,131,155,72,39,6,29,52477,10.868130257349865
170310602002,444,19,50,14,29,22,17,7,7,0,23,40,48,49,7,32,80,58627,10.978950620305264
170310603001,720,0,10,10,0,0,0,14,10,10,26,109,39,98,80,144,170,80011,11.28991940420376
170310603002,613,7,0,24,11,28,57,10,21,20,10,64,121,67,59,26,88,57668,10.962457705931794
170310604001,748,14,20,0,0,10,8,19,29,10,55,69,114,110,43,57,190,66584,11.106219587425931
170310604002,387,19,6,7,0,10,0,9,0,8,13,32,51,50,9,62,111,74890,11.223775649243413
170310604003,407,8,0,0,0,19,9,0,0,0,23,16,37,46,33,132,84,72709,11.194220452283124
170310605001,737,136,97,41,64,21,20,24,27,26,32,29,51,18,21,38,92,46934,10.756497638482541
170310608001,1066,50,15,14,12,14,32,101,13,16,72,69,155,251,95,61,96,71309,11.17477782564538
170310608002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170310608003,1918,86,79,16,55,54,35,55,135,91,114,196,378,283,104,111,126,61255,11.022800757728271
170310609001,680,0,71,35,0,25,97,40,27,0,93,116,87,75,0,0,14,43005,10.66907166698558
170310609002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170310609003,923,25,84,46,42,34,0,27,20,0,80,56,231,77,84,0,117,51214,10.84376821115038
170310609004,2571,161,33,88,68,96,104,53,231,84,378,261,304,288,138,82,202,60957,11.017923976551122
170310609005,408,64,28,0,121,0,61,23,0,19,66,0,0,0,0,26,0,16872,9.733410722158611
170310610001,886,37,11,4,23,0,16,25,32,23,59,62,119,128,51,127,169,65326,11.087145398346655
170310611001,658,10,4,5,0,9,13,26,16,39,34,79,114,79,31,95,104,57939,10.96714601194071
170310612001,846,41,11,23,28,25,4,9,20,9,72,49,120,104,85,134,112,59049,10.986122886681096
170312505002,484,72,0,45,0,34,0,14,0,0,13,16,130,67,44,16,33,48490,10.789112870099398
170312505003,351,0,0,32,0,18,0,0,34,0,37,30,24,50,70,47,9,36335,10.500536743050736
170312505004,277,0,0,0,16,15,0,17,0,0,14,24,31,72,14,14,60,41174,10.625562268169254
170312505005,194,0,0,0,0,0,0,15,16,0,29,36,16,28,31,9,14,46508,10.747379619788498
170312505006,414,0,14,104,42,19,67,0,0,35,14,14,20,47,0,38,0,21157,9.959726098983317
170312505007,641,65,59,0,81,0,0,77,10,0,96,72,44,73,54,0,10,29532,10.293229700179056
170312506001,237,19,0,35,0,6,0,21,0,16,32,33,37,21,17,0,0,20462,9.926324786438885
170312506002,364,36,0,35,32,37,14,12,0,40,94,0,21,3,22,11,7,20803,9.942852486058383
170312506003,305,24,36,11,29,0,0,14,0,19,11,0,55,43,32,19,12,23637,10.070568559913799
170312506004,374,48,11,38,13,25,6,0,43,18,0,65,54,13,3,12,25,22479,10.020336819032421
170312507001,417,60,20,66,14,30,12,56,0,0,56,30,59,0,0,14,0,19598,9.883182799195763
170312507002,418,31,84,0,14,60,74,0,0,13,57,85,0,0,0,0,0,16943,9.737610048158107
170312507003,368,0,44,0,69,53,19,0,0,31,45,0,85,9,13,0,0,15666,9.659248037927183
170312507004,325,49,62,85,19,0,0,0,0,0,64,20,12,14,0,0,0,14633,9.591034531092426
170312507005,462,80,37,18,0,55,28,13,56,0,0,0,87,58,15,0,15,21510,9.976273222261776
170312508001,363,30,90,15,0,40,37,10,56,6,3,47,29,0,0,0,0,10783,9.285726098882073
170312508002,446,53,14,29,11,0,81,97,4,46,7,42,15,20,13,14,0,18567,9.829141090407472
170312510001,331,38,43,16,6,50,15,26,8,27,29,37,12,0,18,3,3,16822,9.730442832522382
170312511001,422,73,127,91,57,9,24,0,0,38,0,0,3,0,0,0,0,11885,9.383032379794294
170312511002,276,15,40,1,79,20,18,0,0,8,8,62,19,6,0,0,0,11164,9.320449594656212
170312511003,321,16,84,46,0,21,0,0,19,35,15,0,31,0,47,0,7,15550,9.65181591760738
170312511004,393,102,13,0,0,8,27,65,9,19,7,116,18,9,0,0,0,13484,9.50925907635395
170312512001,210,20,62,0,0,20,9,7,0,0,41,16,0,0,0,28,7,19997,9.903337541285003
170312512002,299,7,5,23,23,0,34,35,25,34,0,48,6,19,31,9,0,16384,9.704060527839234
170312512003,192,0,0,0,48,10,19,10,14,15,15,11,19,0,0,31,0,21125,9.958212452225375
170312512004,414,8,12,12,27,86,43,6,45,50,14,74,18,19,0,0,0,11147,9.318925682389624
170312513001,352,47,0,45,46,49,12,14,9,0,32,0,35,34,0,17,12,19642,9.885425409717719
170312513002,236,27,0,8,64,14,48,0,9,0,0,49,0,17,0,0,0,12918,9.466376966592419
170312513003,247,24,29,71,17,9,0,10,0,0,19,36,9,14,9,0,0,13798,9.532278933106054
170312513004,307,49,18,31,0,32,21,0,20,0,7,82,38,5,4,0,0,18300,9.814656338829513
170312513005,363,76,39,15,27,79,29,8,11,0,0,0,25,43,0,0,11,14611,9.589529948672084
170312514001,310,62,0,0,17,25,37,12,51,11,12,36,38,0,9,0,0,12740,9.452501929126154
170312514002,170,19,33,8,0,11,27,0,16,0,0,20,0,8,12,8,8,20044,9.905685136079615
170312514003,596,65,60,46,101,19,0,46,59,47,58,14,61,8,0,12,0,16721,9.724420693462669
170312514004,681,159,38,22,149,72,10,29,35,33,16,9,50,12,16,23,8,18721,9.837401167408268
170312515001,261,66,31,34,19,0,23,33,0,0,0,38,0,0,0,0,17,29625,10.296373878437432
170312515002,231,31,18,31,11,21,0,33,0,22,17,16,0,31,0,0,0,10877,9.294405747093851
170312515003,410,88,86,47,31,0,52,20,0,7,12,18,42,0,0,7,0,10523,9.261318616740812
170312515004,483,120,31,47,40,0,30,0,22,19,46,22,0,74,0,0,32,19663,9.886493976159556
170312516001,379,15,15,9,23,15,91,32,13,95,27,0,25,4,0,0,15,19448,9.875499515995958
170312516002,273,57,0,9,52,0,16,21,0,0,27,24,41,14,0,12,0,15680,9.660141293904399
170312516003,399,92,39,4,6,69,36,0,41,0,21,18,61,0,12,0,0,10951,9.301186055275759
170312517001,368,83,5,21,43,57,13,42,5,11,18,26,21,12,11,0,0,11327,9.334944535200714
170312518001,470,201,59,65,46,22,17,21,10,0,23,0,0,0,0,0,6,7371,8.905308661189288
170310615001,773,18,16,13,7,4,11,16,14,5,77,62,89,112,89,85,155,66438,11.104024460926164
170310618001,722,72,32,9,46,15,38,32,48,11,61,45,155,97,34,17,10,39985,10.59625966276599
170310619011,492,25,0,32,0,0,0,0,15,32,58,81,145,42,31,16,15,55596,10.92586653520465
170310619012,660,90,0,16,0,18,0,68,85,0,0,90,73,84,90,15,31,47917,10.77722562648903
170310619013,615,37,28,0,0,0,27,73,84,0,37,27,51,118,0,31,102,73113,11.199761468503755
170310619014,623,55,45,35,14,30,102,17,45,89,26,49,13,12,9,0,82,45217,10.719228401304807
170310619021,807,58,29,89,28,0,15,41,33,53,127,30,26,62,33,74,109,78415,11.269770514568526
170310619022,1047,112,62,15,26,118,43,35,66,64,95,98,60,16,67,68,102,60482,11.010101079089724
170310619023,920,33,15,12,13,15,25,16,56,12,105,97,126,150,79,111,55,64745,11.07821175650294
170310619024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170310620001,1095,42,45,35,7,8,52,31,39,67,47,134,105,204,34,95,150,55075,10.916451171670543
170310620002,449,10,26,0,0,29,16,0,30,19,17,122,33,25,42,39,41,53009,10.878216989438704
170310621001,433,22,0,0,9,0,6,9,0,0,0,18,12,37,26,100,194,82406,11.319413528780622
170310621002,492,37,19,6,29,30,8,7,7,8,28,112,61,42,63,17,18,39674,10.588451340288055
170310621003,871,167,62,0,37,25,9,18,25,0,92,70,103,114,36,35,78,60506,11.01049781265528
170310622001,572,23,30,0,0,0,0,9,46,28,47,40,38,98,49,52,112,65145,11.084370833637031
170310622002,731,16,0,9,17,13,31,15,0,37,39,42,88,52,85,86,201,71037,11.170956147044622
170310623001,697,6,0,0,15,10,4,25,5,0,49,28,72,107,70,78,228,93487,11.445577668177023
170310624001,703,19,20,55,27,0,7,4,5,10,44,39,39,73,80,50,231,81053,11.302858540667586
170310625001,716,23,9,12,10,4,12,16,11,32,56,38,108,61,54,68,202,85058,11.35108865571671
170310626001,937,5,8,23,22,4,22,14,12,16,76,135,76,77,59,85,303,79263,11.28052671614168
170310627001,361,0,0,0,0,0,16,0,0,0,9,25,53,80,9,49,120,64648,11.076712447913284
170310627002,313,0,0,0,18,19,0,0,8,8,6,60,24,17,17,29,107,80603,11.297291148645714
170310627003,481,39,41,36,7,6,19,7,0,0,18,16,36,51,21,87,97,64402,11.07289996751084
170310628001,468,32,0,0,6,6,0,0,6,0,0,4,16,80,71,37,210,95902,11.471082115711416
170310628002,459,0,0,0,26,0,0,0,17,0,6,32,78,30,60,80,130,67733,11.123328784746402
170310628003,564,7,11,18,33,0,0,0,6,12,0,6,106,41,80,60,184,77481,11.257788023994173
170310629001,687,19,0,6,15,6,8,32,26,0,43,21,53,111,116,102,129,77818,11.262128045874181
170310629002,559,0,30,8,21,0,27,0,13,9,35,32,68,46,40,36,194,106453,11.5754588521697
170310629003,637,51,9,0,0,0,0,0,6,14,83,78,72,50,82,107,85,67238,11.115993842880304
170310630001,621,29,0,23,7,27,10,52,8,31,82,68,70,68,44,58,44,57194,10.954204276761118
170310630002,718,32,7,17,48,25,17,15,38,9,9,35,123,84,22,73,164,67753,11.123624018204401
170310630003,340,17,0,0,14,0,16,0,18,17,36,15,29,39,28,77,34,64326,11.071719183084294
170310631001,747,19,0,0,0,9,26,26,17,9,36,130,157,93,92,67,66,64417,11.073132852412414
170310631002,548,58,31,0,0,9,29,36,0,8,52,60,32,39,50,51,93,68547,11.135274920356654
170310632001,860,50,0,0,25,129,0,21,39,50,136,112,90,105,48,27,28,47674,10.772141454894674
170310632002,458,0,0,0,18,0,32,0,0,18,71,0,27,199,25,0,68,120321,11.697918450319342
170310632003,569,27,0,25,0,62,26,0,81,47,50,75,108,0,0,30,38,52036,10.85969106572145
170310632004,845,102,45,0,0,56,0,23,27,0,23,26,91,148,39,42,223,96098,11.473123783087292
170310632005,411,73,0,24,19,25,0,0,23,0,38,79,26,43,0,61,0,41126,10.624395803881464
170310632006,1048,177,0,0,19,25,18,114,54,49,70,74,108,200,77,53,10,41373,10.630383773142448
170310633011,730,130,52,58,44,24,13,12,55,0,50,59,56,33,56,43,45,43629,10.68347734584582
170310633012,409,33,0,10,0,13,21,44,32,21,25,64,44,57,9,9,27,55708,10.927879042172982
170310633013,641,175,45,27,45,9,11,12,44,21,40,41,76,33,10,52,0,37778,10.539482201591765
170312518002,330,60,29,15,19,44,47,0,33,36,19,8,20,0,0,0,0,10836,9.290629203204986
170312518003,323,76,37,55,0,0,0,8,0,0,22,0,91,22,12,0,0,14618,9.590008925040337
170312518004,150,35,16,39,35,0,0,0,0,0,8,8,9,0,0,0,0,7721,8.951699168308815
170312518005,453,50,38,76,50,16,27,22,26,20,23,33,49,0,0,0,23,13867,9.537267195753865
170312519001,232,11,15,58,10,47,0,0,0,0,60,18,0,13,0,0,0,15247,9.632138041371906
170312519002,398,74,30,18,45,32,34,15,20,53,48,10,0,0,0,19,0,10179,9.22808205345234
170312519003,345,115,48,41,19,62,17,35,0,0,0,8,0,0,0,0,0,8196,9.011401509358791
170312519004,703,255,59,81,73,36,30,28,31,20,20,39,0,0,18,0,13,11160,9.320091235935301
170312520001,408,177,35,0,29,80,0,0,52,0,24,0,11,0,0,0,0,15039,9.618402105931613
170312520002,768,110,82,57,118,0,85,38,51,14,15,96,23,15,35,29,0,14698,9.595466709088816
170312520003,514,217,0,55,39,0,44,0,35,0,11,41,39,0,0,19,14,17149,9.749695141856147
170312520004,603,145,62,17,57,71,85,18,29,0,18,32,38,31,0,0,0,14934,9.611395771595648
170312521011,575,96,82,67,55,24,62,38,11,0,23,18,33,22,4,14,26,18414,9.82086652384779
170312521021,576,0,44,40,7,30,31,28,127,36,64,52,54,63,0,0,0,13017,9.47401147446646
170312521022,467,49,32,25,18,18,38,38,0,21,14,39,52,105,0,18,0,25748,10.156112233172507
170312521023,756,89,97,91,113,77,120,22,28,3,36,29,32,0,19,0,0,10949,9.301003406873425
170312521024,334,121,0,0,16,29,0,0,53,0,22,35,55,0,3,0,0,16004,9.680593969977126
170312522011,197,72,60,0,0,13,18,0,29,0,0,0,5,0,0,0,0,8797,9.082166033252674
170312522012,184,22,46,25,12,0,19,22,0,0,14,9,15,0,0,0,0,10864,9.293209849798478
170312522013,587,71,82,38,12,3,38,51,24,61,35,61,54,42,9,6,0,18927,9.84834475303892
170312522021,264,18,0,22,25,21,27,21,0,0,42,57,11,0,0,0,20,25228,10.135709767783542
170312522022,336,125,19,14,37,47,23,0,27,0,0,10,34,0,0,0,0,8149,9.00565049932022
170312522023,372,61,46,39,50,44,31,6,5,0,9,26,25,0,30,0,0,15500,9.648595302907339
170312522024,189,47,0,18,63,0,13,0,2,0,18,28,0,0,0,0,0,7711,8.95040315983296
170312522025,385,74,37,42,40,16,0,49,11,14,16,28,26,32,0,0,0,11327,9.334944535200714
170312601001,571,235,94,71,18,14,24,6,27,5,37,11,15,0,0,14,0,11722,9.369222697036374
170312602001,352,70,39,47,13,26,19,28,5,8,27,22,44,0,0,4,0,10787,9.28609698437543
170312603001,548,94,68,34,65,18,36,21,10,22,71,39,27,37,6,0,0,13423,9.504724932487637
170312604001,394,90,22,59,48,34,37,8,8,11,23,44,6,0,0,4,0,8571,9.056139690898883
170312605001,515,150,35,10,20,57,41,4,17,17,48,43,64,9,0,0,0,12226,9.41132011058867
170312606001,235,61,42,71,12,0,4,12,0,0,0,8,15,0,10,0,0,7938,8.97941663334301
170312606002,314,17,36,25,38,43,31,0,11,12,22,44,32,0,3,0,0,11227,9.32607687045878
170312607001,235,66,21,18,43,15,11,0,6,33,0,11,6,0,5,0,0,9218,9.128913373280454
170312607002,315,60,32,27,38,32,15,0,18,11,14,18,36,10,0,0,4,11637,9.361944956108077
170312608001,425,79,52,49,21,8,30,9,41,27,14,30,47,3,0,0,15,17844,9.789422596248155
170312608002,376,112,44,51,39,16,0,0,4,11,31,31,23,0,9,0,5,18004,9.798349234412823
170312609001,218,63,25,25,8,0,9,15,25,0,0,48,0,0,0,0,0,9025,9.107753783201082
170312609002,145,49,15,0,23,1,0,0,12,0,10,27,1,7,0,0,0,8843,9.087381464575735
170312610001,317,48,22,62,30,0,23,22,0,10,18,25,32,0,14,11,0,12890,9.464207095933233
170312610002,352,91,20,16,27,10,29,13,22,0,13,43,27,19,10,12,0,12727,9.451480999992047
170312705001,674,208,94,82,18,38,28,0,39,11,44,20,55,6,6,6,19,12804,9.457512901089753
170312712001,364,113,27,34,14,35,37,8,10,15,9,14,39,4,5,0,0,10098,9.22009266341886
170312713001,363,111,37,12,43,4,0,26,15,17,5,49,0,8,3,25,8,17332,9.7603097828598
170312714001,438,107,48,26,30,6,23,30,4,0,34,47,56,14,0,13,0,15958,9.677715549868227
170310633021,870,0,0,0,11,0,0,15,34,13,90,100,236,119,64,75,113,67890,11.125644027295692
170310633022,844,14,16,0,0,11,0,16,66,35,90,176,150,187,13,38,32,58677,10.979803106205628
170310633023,368,29,26,16,0,0,17,0,0,26,85,16,55,83,15,0,0,48876,10.797041757436412
170310633024,801,119,45,75,41,0,89,32,46,20,76,74,75,0,0,62,47,48321,10.785621527758789
170310633031,419,29,12,24,6,17,24,50,23,23,6,29,49,54,26,15,32,65269,11.086272470537482
170310633032,542,18,6,11,19,7,16,0,5,12,75,57,57,106,56,42,55,83786,11.336021208074216
170310634001,627,50,0,23,23,0,14,20,10,8,34,45,158,39,57,33,113,71589,11.178696709861326
170310634002,564,26,19,0,25,9,33,0,44,12,74,37,129,53,69,20,14,51605,10.851373846000033
170310701011,1087,62,0,14,0,47,0,40,0,14,66,167,135,199,16,178,149,87193,11.375879331445484
170310701012,655,27,0,40,31,16,69,52,19,15,12,31,70,96,66,80,31,73655,11.20714730824904
170310701013,899,132,114,31,0,15,34,0,95,38,96,138,52,81,16,12,45,47151,10.76111049674444
170310701021,865,62,29,42,36,81,50,22,54,8,60,75,84,97,44,32,89,73075,11.199241589979447
170310701022,431,58,7,0,0,22,12,10,32,17,40,26,35,17,43,17,95,76377,11.243436882710412
170310701023,580,30,0,16,33,10,15,28,17,51,62,83,73,38,46,46,32,56189,10.93647628718689
170310701031,546,62,7,0,57,32,17,15,47,8,32,91,88,25,6,26,33,50045,10.82067787965312
170310701032,606,79,29,27,7,5,21,58,28,18,176,87,31,29,11,0,0,37519,10.532602750312952
170310702001,914,31,79,27,13,7,0,13,0,11,2,120,154,144,57,85,171,57777,10.964346051592322
170310702002,448,17,54,13,0,0,17,0,19,12,0,42,62,46,50,21,95,62200,11.03811027872727
170310702003,616,92,0,0,14,44,18,68,16,0,70,65,46,63,30,58,32,60677,11.013319992556701
170310703001,975,137,0,0,0,41,0,25,11,7,35,93,65,105,76,139,241,64086,11.06798121031775
170310703002,674,69,6,12,0,0,41,9,0,8,94,24,99,57,81,95,79,57464,10.958913943754638
170310704001,888,187,92,70,62,34,38,0,15,6,22,22,50,85,31,53,121,48361,10.786448982761422
170310704002,331,6,0,9,7,0,18,0,21,0,23,27,6,32,25,23,134,114265,11.646275591166985
170310704003,384,12,14,0,0,0,0,0,9,15,12,22,42,59,39,40,120,76799,11.248946898217659
170310705001,406,6,0,0,0,0,15,0,8,13,15,43,32,61,7,11,195,152270,11.933410539834778
170310705002,490,57,58,23,12,23,55,7,37,0,7,6,36,8,38,8,115,67896,11.125732401649513
170310705003,417,31,8,0,0,0,0,0,0,13,24,16,12,14,21,68,210,108842,11.597652568325561
170310706001,773,6,0,0,0,0,11,0,0,17,42,35,58,82,81,91,350,69902,11.154849540115867
170310706002,539,9,0,0,62,10,8,0,0,14,10,45,95,20,87,84,95,63934,11.065606580237674
170310707001,1141,0,27,0,30,17,71,18,29,9,17,27,131,86,117,208,354,87058,11.37432984217988
170310707002,616,165,28,32,18,8,0,9,12,0,8,88,34,84,21,64,45,41157,10.625149300994275
170310710001,196,14,0,24,22,7,9,0,0,0,9,9,9,15,27,34,17,10666,9.274816391160547
170310710002,789,13,26,0,7,0,10,10,17,8,73,50,105,173,76,41,180,83525,11.332901267224956
170310711001,532,8,9,0,0,12,18,0,0,9,0,67,81,61,54,43,170,81179,11.304411872012016
170310711002,509,77,8,11,32,7,13,13,8,12,45,41,44,30,7,68,93,45231,10.719537971447028
170310712001,426,18,34,0,9,0,14,26,0,7,17,30,34,117,16,46,58,67172,11.1150117730149
170310712002,581,64,71,48,9,9,0,9,0,23,18,9,89,38,7,52,135,68531,11.13504147662283
170310713001,759,32,32,0,9,48,27,8,6,0,38,13,78,64,87,73,244,107091,11.581434219291372
170310713002,1068,84,13,24,40,0,45,0,16,15,119,87,162,106,60,96,201,91184,11.42063472207478
170310714001,523,67,55,0,0,14,27,0,65,0,0,70,55,36,28,18,88,57087,10.952331698970116
170310714002,1015,85,53,53,18,17,0,35,55,52,91,76,53,62,100,98,167,79499,11.28349972194696
170310714003,869,0,36,46,0,13,0,0,51,52,108,101,181,84,94,45,58,64746,11.078227201591789
170310714004,420,15,0,55,48,0,0,7,17,0,30,62,27,39,29,53,38,53006,10.878160393673937
170310715001,734,0,14,0,0,13,14,14,14,42,15,139,130,59,70,74,136,95734,11.46932879125215
170312715001,435,65,53,31,28,32,23,31,50,7,21,39,19,26,7,3,0,12763,9.45430563898269
170312718001,264,71,17,75,0,19,30,26,0,3,10,4,4,0,0,5,0,7534,8.927181388251986
170312801001,3349,159,29,0,66,42,0,0,29,72,118,341,432,529,309,551,672,94492,11.45627045381365
170312801002,916,32,15,16,0,0,14,15,18,0,0,92,117,121,71,181,224,95357,11.465383022072766
170312804001,541,191,40,37,10,11,33,52,19,15,30,41,43,14,5,0,0,11757,9.372204086867741
170312808001,338,94,45,29,19,45,7,0,16,12,8,14,20,16,9,4,0,12942,9.468233115617211
170312809001,364,125,19,31,40,7,4,5,8,0,4,25,42,30,4,0,20,19234,9.864434825272427
170312819001,782,0,0,12,16,0,14,0,14,0,28,0,58,112,68,201,259,103194,11.544365990804547
170312819002,869,155,26,12,0,0,25,0,74,13,71,116,235,58,30,40,14,40803,10.616510887100864
170312819003,1538,274,28,0,60,15,0,31,0,57,93,178,192,293,37,101,179,70858,11.16843315335278
170312827001,334,4,13,0,12,28,22,17,0,20,86,31,55,20,7,15,4,21950,9.996522418503318
