GEOID,total.x,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population,total.y,black,latino,percentage.black,percentage.latino
17031241400,2320,296,145,55,14,221,37,23,89,69,86,133,314,270,150,141,277,46030,10.737048636811288,4858,4858,457,1075,0.09407163441745574,0.22128447920955124
17031241500,1330,58,58,44,41,86,52,29,12,55,136,40,134,98,108,144,235,51620,10.851664473272605,3189,3189,124,622,0.038883662590153655,0.19504546879899656
17031241600,1686,53,109,92,74,151,55,73,44,70,75,152,232,186,97,140,83,36278,10.498966775917914,4054,4054,124,1050,0.030587074494326592,0.2590034533793784
17031242000,2091,431,193,68,106,34,16,114,57,130,164,146,174,123,147,61,127,34341,10.444095254586585,4414,4414,862,1484,0.19528772088808338,0.33620299048482105
17031242100,1676,109,40,74,66,9,49,54,66,58,177,173,172,109,97,161,262,53040,10.878801624859744,3409,3409,166,812,0.04869463185684952,0.23819301848049282
17031242200,1896,73,32,62,173,88,71,77,161,97,109,229,256,126,59,112,171,44087,10.693920233396923,4097,4097,163,734,0.03978520868928484,0.1791554796192336
17031242300,1875,112,70,10,77,182,79,32,84,124,100,294,275,125,67,98,146,44774,10.709382892787827,3718,3718,122,555,0.0328133405056482,0.14927380311995697
17031242400,1408,82,75,19,31,57,63,23,60,191,41,264,166,80,66,139,51,39581,10.586104484122892,2857,2857,123,253,0.04305215260763038,0.08855442772138607
17031242500,1507,207,42,16,145,118,89,119,68,101,95,98,164,70,93,65,17,20325,9.919606934416011,4468,4468,445,1859,0.09959713518352731,0.4160698299015219
17031242600,2292,490,145,130,130,19,106,126,89,134,101,239,234,82,107,110,50,28083,10.242919690039855,5031,5031,682,1978,0.13555953090836811,0.39316239316239315
17031242700,742,91,44,32,124,11,91,10,68,0,171,21,0,31,12,25,11,18086,9.802893437300426,2157,2157,445,1269,0.20630505331478907,0.588317107093185
17031242800,628,12,13,50,43,63,31,13,38,29,46,47,74,29,42,57,41,32461,10.38779464774131,1621,1621,21,373,0.012954966070326958,0.23010487353485504
17031242900,926,0,9,171,11,93,21,96,45,18,61,93,109,71,10,63,55,37745,10.538608295573725,1907,1907,49,393,0.025694808599895123,0.20608285264813844
