GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita
170318072005,309,0,0,0,0,15,0,0,23,0,0,78,37,50,32,53,21,43034,10.669745779913397
170318072006,328,13,0,0,0,0,27,25,10,0,13,42,25,54,25,24,70,49739,10.81454461261167
170318073001,985,126,53,36,109,46,62,30,112,46,195,65,24,39,20,8,14,21334,9.968057323185429
170318073002,716,92,13,9,48,42,10,12,104,0,0,170,88,16,54,38,20,28685,10.264129617035971
170318073003,577,22,13,8,40,56,25,6,10,8,45,79,89,95,51,30,0,30399,10.322164992116427
170318073004,324,0,0,14,9,32,0,11,0,0,0,41,42,43,0,91,41,37350,10.528088190560963
170318073005,248,0,21,12,0,0,0,53,0,2,12,34,67,24,0,11,12,36900,10.515966830028619
170318074001,249,0,0,0,0,42,0,14,23,0,35,11,27,39,27,31,0,28932,10.27270352796917
170318074002,402,0,0,0,0,14,0,39,11,0,50,38,51,55,58,52,34,33425,10.417059401970144
170318074003,1008,133,0,92,55,87,216,60,88,65,44,76,0,12,68,12,0,13703,9.5253700659462
170318074004,246,0,0,13,15,0,0,0,0,0,0,30,72,9,44,23,40,45600,10.727662995502477
170318074005,433,71,16,10,9,0,29,16,16,0,84,45,48,20,15,54,0,28989,10.274671726667417
170318075001,350,0,10,11,10,22,21,0,10,11,0,34,64,54,61,11,31,28897,10.271493062483911
170318075002,246,0,10,0,11,11,0,10,0,0,55,12,53,32,0,22,30,30905,10.338673262093375
170318075003,505,29,0,10,22,10,77,21,40,10,0,20,74,83,42,67,0,27414,10.218809110791327
170318076001,361,0,0,13,0,0,28,17,24,49,57,90,59,9,0,15,0,18514,9.826282481627157
170318076002,589,33,0,14,11,73,0,14,30,8,26,66,152,27,110,25,0,26386,10.180588845443722
170318076003,285,0,0,0,0,0,0,0,0,17,15,47,48,75,66,17,0,32143,10.377949976565812
170318076004,369,0,0,13,14,16,0,14,0,0,13,42,126,76,12,34,9,26820,10.196903156835669
