GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population
17031640100,468,47,0,59,36,38,0,0,42,11,88,73,37,0,11,25,1,18747,9.838789018597192,1327
17031640300,2378,113,121,92,103,140,200,72,154,168,202,236,360,105,129,125,58,23642,10.070780070310322,6972
17031640400,1297,61,56,94,15,95,51,59,38,53,146,112,268,101,116,32,0,26920,10.200624783758665,3231
17031640500,1523,136,64,8,7,126,60,88,70,128,158,162,271,98,100,38,9,26289,10.17690587972396,3774
17031640600,1670,108,58,188,141,46,55,121,171,58,201,112,149,143,65,54,0,22128,10.00459905390454,4199
17031640700,1119,42,49,58,27,36,13,82,110,147,154,135,156,76,21,13,0,21224,9.962887895817575,3116
17031640800,511,27,0,20,33,66,0,0,23,0,75,71,133,5,46,12,0,18485,9.824714871370732,1864
17031650100,1310,83,93,124,105,74,63,59,121,115,70,136,204,38,25,0,0,12060,9.397649470281177,5395
17031650200,2001,155,54,60,158,207,71,73,103,158,220,274,109,131,106,110,12,18207,9.809561414503964,6927
17031650400,1628,148,41,151,51,61,189,31,135,103,308,142,231,0,0,37,0,13516,9.511629447834181,6092
17031650500,1456,48,44,93,108,140,123,35,56,64,166,115,252,111,15,59,27,20848,9.945013299364627,4443
17031660400,1501,118,74,116,75,163,163,135,85,58,93,117,189,41,31,43,0,13212,9.48888078651068,5814
17031660500,1360,229,135,85,117,67,16,94,91,63,113,130,82,67,46,9,16,12389,9.424564261115739,5307
17031660600,1892,228,161,177,54,158,150,113,115,86,217,106,176,43,76,32,0,14796,9.602112152952344,5952
17031660700,612,31,26,53,28,80,45,31,0,46,90,85,37,41,19,0,0,15899,9.67401149314871,2032
17031660800,1831,182,177,194,51,105,150,114,257,127,150,112,81,85,46,0,0,13040,9.475776835480644,6231
17031660900,1527,357,165,128,154,88,71,114,94,53,44,99,77,36,9,30,8,11025,9.307920700315046,4974
17031661000,1910,255,102,80,137,52,99,108,47,174,162,206,307,61,69,43,8,19223,9.86386275775286,5767
17031661100,1880,103,120,111,97,241,45,81,72,39,286,214,279,142,23,17,10,19039,9.854244785957677,6000
17031670100,492,51,29,71,24,45,25,53,22,0,62,32,61,17,0,0,0,14984,9.614738244123924,1453
17031670200,513,136,50,22,11,19,26,21,47,21,43,89,9,0,0,19,0,10846,9.291551627401006,2051
17031670300,314,17,30,71,48,8,8,19,32,17,56,0,8,0,0,0,0,6233,8.73761303680885,3317
17031670400,598,109,20,72,115,49,27,24,27,29,64,34,22,0,0,6,0,6945,8.845777255188445,2972
17031670500,349,63,16,14,52,16,40,51,26,0,0,53,18,0,0,0,0,10053,9.215626376405421,1315
17031670600,471,98,44,75,12,5,12,12,87,0,70,24,32,0,0,0,0,10278,9.237760967552175,1632
17031670700,440,108,73,7,28,28,5,16,17,0,0,53,55,40,0,0,10,11501,9.350189267092581,1789
17031670800,589,100,60,69,31,32,23,50,5,25,67,29,40,29,29,0,0,13612,9.518707035620796,1949
17031670900,546,148,58,15,25,39,46,26,36,8,28,59,24,34,0,0,0,11933,9.387062950369655,1710
17031671100,366,73,16,32,88,0,9,27,6,20,16,20,49,0,0,10,0,9813,9.191463316206494,1493
17031671200,454,46,0,27,63,53,15,126,9,0,31,34,44,6,0,0,0,11861,9.381010986029276,1572
17031671300,833,138,24,74,169,36,116,26,8,0,45,36,123,8,0,30,0,12507,9.434043766548907,2934
17031671400,547,41,32,83,23,5,75,57,34,28,107,21,22,19,0,0,0,12096,9.400630098419315,1955
17031671500,940,96,72,120,83,173,68,57,53,20,68,57,26,20,20,0,7,10331,9.242904362849446,3697
17031671600,847,147,153,97,102,43,62,43,54,27,26,41,52,0,0,0,0,10304,9.240287448344136,2462
17031671800,392,48,68,53,51,0,7,26,27,23,8,26,31,15,0,0,9,15195,9.628721705350893,1096
17031671900,309,65,41,8,33,0,56,0,8,8,14,31,18,8,19,0,0,11214,9.3249182766836185,1171
17031672000,1246,140,78,103,95,143,139,143,29,66,137,60,74,20,19,0,0,11115,9.316050826398296,4584
17031680500,496,202,39,44,13,16,21,21,46,35,0,0,59,0,0,0,0,9118,9.118005760773388,1504
17031680600,584,191,77,58,59,56,7,10,0,9,0,54,25,29,9,0,0,9715,9.18142636181154,1736
17031680900,1601,561,141,251,108,90,75,39,46,28,12,55,152,33,0,0,10,11733,9.370160663423624,4024
17031681000,1240,291,173,116,94,49,33,146,53,36,127,52,46,8,16,0,0,11461,9.346705246496699,3485
17031681100,1443,381,65,122,79,53,128,107,48,63,107,79,112,31,22,26,20,14588,9.58795455192857,4616
17031681200,972,252,193,76,126,40,12,47,34,51,28,92,8,7,0,6,0,8739,9.075551045627543,3101
17031681300,969,191,120,136,43,71,22,57,49,65,78,28,90,10,0,0,9,12792,9.45657525451379,3257
17031681400,1170,333,80,126,128,65,45,40,33,53,20,156,44,25,22,0,0,11969,9.39007525287337,3391
17031690300,897,271,158,38,95,88,37,9,27,48,32,16,78,0,0,0,0,10816,9.288781798282745,2464
17031690400,1659,318,159,143,173,110,19,43,44,128,197,127,63,109,7,19,0,16081,9.685393729854024,4157
